"Scenario","Method","Mean_MSE","SD_MSE","Mean_BAR","SD_BAR"
"Scenario 1 (Case I)","Lasso",11.8466530842088,2.61644809573834,0.968421052631579,0.0288275030265877
"Scenario 1 (Case I)","ALasso",10.7803155900127,1.85852124297159,0.989473684210526,0.0144137515132939
"Scenario 1 (Case I)","BLasso",12.6895909161388,3.35380334166142,1,0
"Scenario 1 (Case I)","Horseshoe",10.7140781665714,2.01962294356942,1,0
"Scenario 1 (Case I)","BayesA",46.9220418506014,14.4453177535915,0.81578947368421,0.10020754086663
"Scenario 1 (Case I)","BayesB",12.9340169530165,3.54059355434115,0.636842105263158,0.0655257873578354
"Scenario 1 (Case I)","BayesC",12.6636846750932,3.65630360924438,0.631578947368421,0.064460256389031
"Scenario 1 (Case I)","rLASSO (S5)",12.7514209375982,2.58384455335697,0.821052631578947,0.0220173691193178
"Scenario 2 (Case III)","Lasso",2.74500297563979,0.270600040393892,0.9,0.101631833452969
"Scenario 2 (Case III)","ALasso",2.4508070237731,0.188562333739933,0.997959183673469,0.00456340403571386
"Scenario 2 (Case III)","BLasso",2.93532462620507,0.254106342299805,0.993877551020408,0.0136902121071415
"Scenario 2 (Case III)","Horseshoe",2.50354877086316,0.161006386787253,1,0
"Scenario 2 (Case III)","BayesA",8.37018504176915,1.28103012721346,0.955102040816327,0.0335340341329693
"Scenario 2 (Case III)","BayesB",3.69093323274389,0.48452947741815,0.824489795918367,0.023268886226513
"Scenario 2 (Case III)","BayesC",3.72174063824749,0.606705246202174,0.828571428571429,0.0182536161428554
"Scenario 2 (Case III)","rLASSO (S5)",2.88016879311848,0.117263024364072,0.940816326530612,0.0182536161428555
"Scenario 3 (Case VIII)","Lasso",12.3717382671456,2.50982624949681,0.858823529411765,0.0483284609563382
"Scenario 3 (Case VIII)","ALasso",13.4138077759618,3.11718976321631,0.888235294117647,0.104814880477679
"Scenario 3 (Case VIII)","BLasso",12.688033201117,2.76802635697681,0.86078431372549,0.0788591276556479
"Scenario 3 (Case VIII)","Horseshoe",12.5267706957329,2.78845510938169,0.694117647058824,0.0788591276556479
"Scenario 3 (Case VIII)","BayesA",49.6880565722553,14.8620390760121,0.762745098039216,0.0973998761334886
"Scenario 3 (Case VIII)","BayesB",13.512556257585,2.94506003025616,0.647058823529412,0.0415945165403851
"Scenario 3 (Case VIII)","BayesC",13.4366758522872,2.86883880369407,0.647058823529412,0.0415945165403851
"Scenario 3 (Case VIII)","rLASSO (S5)",13.6444355546929,3.17502333566577,0.784313725490196,0.0876889402941094
